,country,description,points,price,province,title,variety,winery
12015,France,"The three A's stand for wine from Avize, Aÿ and Ambonnay, all grand cru villages. It is in the rich De Sousa style, but with an extra dimension of Pinot Noir that gives concentration and a perfumed character. The green plum juice and cranberry texture are full-on, leaving a dense finish.",92,60.0,Champagne,De Sousa & Fils NV Cuvée 3A Grand Cru Brut  (Champagne),Champagne Blend,De Sousa & Fils
12016,France,"There is good bottle age here, the wine full and ripe with an integrated dosage that is relatively high. Flavors of sweet pastry go with white nectarines and pears. It's deliciously balanced, finishing with a soft, fresh aftertaste.",92,55.0,Champagne,Delamotte NV Brut  (Champagne),Champagne Blend,Delamotte
12020,France,"A blend from grand cru vineyards in the top villages of the Côte des Blancs. This is Agrapart's base wine, but it is an impressive base, with its extreme minerality that demands food, its lime, kiwi and textured fruit skin flavors. It finishes with great depth and complexity.",92,35.0,Champagne,Agrapart & Fils NV Terroirs Grand Cru Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Agrapart & Fils
12021,France,"A dry style, this classic nonvintage from Philipponnat is showing well, with greater depth than in the past. The wine has maturity, with toast, almonds and cookies, but retaining the acidity to give a wine that is mouthfilling and also refreshing.",92,50.0,Champagne,Philipponnat NV Royale Réserve Brut  (Champagne),Champagne Blend,Philipponnat
12022,France,"Fresh apples and cream aromas with a tight citrus and mineral edge. The fruit is fresh but, with the attractive ripeness of white currants. Very full in the mouth, very much a wine, suggesting an ability to go with food.",92,56.0,Champagne,Pierre Gimonnet et Fils NV Cuis Premier Cru Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Pierre Gimonnet et Fils
12079,Portugal,"Full, rich and on the dry side, this is loaded with ripe berry flavors, and it has a core of firm tannins and a touch of acidity. It finishes dry.",86,20.0,Port,Ramos-Pinto NV Collector Reserva  (Port),Port,Ramos-Pinto
12163,Spain,"The core aroma on this semisweet Sherry is maple syrup, but overall the nose is fresh and vital. Although creamy, this is balanced as a whole. Flavors of mixed nuts and toffee are familiar, while the finish hums along with no faults or bumps.",91,26.0,Andalucia,González Byass NV Cristina Medium Sherry (Jerez),Sherry,González Byass
12247,Italy,"Very smooth in the nose, with fragrant, fresh aromas of flowers, lemon and lime. The dry citrusy palate and soft mouthfeel work perfectly together, while the finish is long, fruity and very pleasant. Quite a tasty sparkler with pure fruit. Its quality is obvious.",90,11.0,Veneto,Canella NV Extra Dry  (Prosecco di Conegliano),Champagne Blend,Canella
12293,France,"The beauty of Krug's rosé is the sense of bottle age, of that extra richness. That means the wine is not just the sum of its delicious red berry fruits. It's also the way the wine is rounded out, filled with secondary flavors, toast and almonds and a taut minerality. The aftertaste is taut, dry, seamless, complex.",94,400.0,Champagne,Krug NV Brut Rosé  (Champagne),Champagne Blend,Krug
12310,Italy,"Here's a Prosecco Brut that stands tall in this category of sparkling wine thanks to the pristine and intense nature of its bouquet. You'll get dusty mineral, fruit and flowers and the mouthfeel is exceedingly crisp and clean.",87,18.0,Veneto,Bortolomiol NV Prior Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Bortolomiol
12322,Italy,Cuvée di Boj offers distinctively herbal characteristics such as cut grass and dried basil leaf. The mouthfeel is smooth and creamy and there's a touch of sweetness here that adds to the overall softness of this cheerful sparkling wine.,87,15.0,Veneto,Valdo NV Cuvée di Boj  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Valdo
12323,Italy,"Here's a special sparkling wine from Villa Sandi with intense notes of peachy fruit, sweet apple and pear. This Dry style wine tastes extra sweet and would make an excellent pairing partner with any fruit-based dish, whether sweet or salty (like prunes wrapped in prosciutto).",87,19.0,Veneto,Villa Sandi NV Oris Cuvée Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Villa Sandi
12358,France,"Packed with acidity as much as fruit, this is a tight, intensely fresh wine. There are some hints of tannins from the Pinot Noir as well as raspberry fruits, although the crisp acidity shows most strongly.",85,33.0,France Other,Domaine de Savagny NV Rosé Brut Pinot Noir (Crémant de Jura),Pinot Noir,Domaine de Savagny
12369,Spain,"Reduced aromas of cassis and blackberry come with a whiff of wet dog. This foamy sparkling red is heavy on the palate, without much delicacy. Black cherry and boysenberry flavors are candied but not cloying, while a foamy, blocky finish is fruity yet ponderous due to low acidity.",85,15.0,Levante,Bocopa NV Marina Espumante Gran Selección 10° Monastrell (Alicante),Monastrell,Bocopa
12428,France,"Crisp apple, grapefruit and almond notes give this wine great vitality and life. With its light, bright texture and fresh feel, it's a perfect apéritif.",87,20.0,Loire Valley,Domaine de la Perruche NV La Grande Cuvée  (Saumur),Chenin Blanc,Domaine de la Perruche
12441,France,"This rich selection has a touch of bottle age that creates a toasty character. It features ripe apricot and peach notes, with warm and taut acidity. Ready to drink.",87,52.0,Champagne,Henri Goutorbe NV Cuvée Prestige Premier Cru Brut  (Champagne),Champagne Blend,Henri Goutorbe
12456,Italy,Encouraging aromas of bread dough and baked apple give way to a rubber note. Moderately flavorful in the mouth but somewhat mono-dimensional with a foamy mousse. Medium finish. Drink now.,84,24.0,Piedmont,Banfi NV Brut Metodo Tradizionale Classico Sparkling (Piedmont),Sparkling Blend,Banfi
12516,US,"With abundant floral and stone-fruit notes on the nose and palate, this New York sparkler is on the sweet side of brut. Brisk in acidity and surprisingly pétillant, this $9 sparkler is an irresistible weeknight bubbly.",86,9.0,New York,Ambition NV Gabrielle Blanc de Blancs Brut Sparkling Wine Sparkling (New York),Sparkling Blend,Ambition
12533,Portugal,"Made from foot-trodden grapes, this is a rich, structured style of Reserva Port. Higher-than-usual alcohol does give a burn on the palate. but get past that and there's an impressive array of dried fruits, ripe damsons and a structure that will allow the wine to age. It will drink at its best from 2017.",88,20.0,Port,Quinta Vale Dona Maria NV Reserva Porto Lote no 12  (Port),Port,Quinta Vale Dona Maria
12668,Spain,"Opens with aromas of mustard and rye seed. The palate is soft, clunky and a bit cloying, with sweet, gummy, muddled apple and candied mango flavors. Finishes confected, with a tropical leaning. Not the best style for Cava.",83,10.0,Catalonia,Marques de Monistrol NV Selección Especial Semi Seco Sparkling (Cava),Sparkling Blend,Marques de Monistrol
12674,Spain,"Bready and lightly maderized, with less than fresh aromas. There's weight and maturity to this Cava along with doughy apple flavors. Sputters and flattens on the finish, which is chunky.",83,27.0,Catalonia,Muga NV Conde de Haro Brut Sparkling (Cava),Sparkling Blend,Muga
12686,US,"Tough in acidity, with a harsh mouthfeel only partially relieved by cherry, berry and toasted oak flavors. It's hard to like, even at this price.",82,15.0,California,Seven Daughters NV Pinot Noir (California),Pinot Noir,Seven Daughters
12708,US,"Fans of Moscato will like this bubbly, semidry version. With a syrupy profile and aromas of artificial vanilla, it offers plenty of juicy fruit.",84,13.0,California,Allure NV Bubbly Moscato (California),Moscato,Allure
12774,Italy,"Ferrari's base Brut (with a 2.5-million-bottle production) is a lovely sparkler with yeasty aromas of freshly baked bread and loads of dried fruit, honey and apricot. The mouthfeel is soft and creamy and this impression is reinforced by its foamy perlage.",90,24.0,Northeastern Italy,Ferrari NV Brut Chardonnay (Trento),Chardonnay,Ferrari
12775,Italy,"Ferrari's rosé sparkler offers distinctive aromas of freshly baked bread and yeast followed by wild berries, stone fruit and citrus. The mouthfeel is intense and generous and this wine boasts a particularly creamy, full and satisfying mouthfeel.",90,30.0,Northeastern Italy,Ferrari NV Rosé Sparkling (Trento),Sparkling Blend,Ferrari
12786,Italy,"Here's a beautifully pale and delicate rosé sparkler from Franciacorta that offers compelling aromas of wild berry, cranberry and cinnamon spice. There are citrus and pink grapefruit tones at the back and the wine is silky smooth in the mouth.",90,29.0,Lombardy,Montenisa NV Brut Rosé Pinot Nero (Franciacorta),Pinot Nero,Montenisa
12787,Italy,"This easy but elegant sparkler offers candy-like aromas of butterscotch and caramel followed by apricot and dried fruit. The wine is firm and tonic in the mouth with thick consistency and a crisp, cleansing finish.",90,25.0,Lombardy,Montenisa NV Brut Sparkling (Franciacorta),Sparkling Blend,Montenisa
12872,Portugal,"Mature, definitely dry in character, with attractive wood acidity. Dark gold in color, it has just enough sweetness, but the style is certainly a sipping Port, not a mixer, giving an intriguing finishing austerity.",91,16.0,Port,Wiese & Krohn NV Dry White  (Port),Port,Wiese & Krohn
12884,Spain,"Bold and gold, with penetrating aromas of orange, dried apricots, sweat and honey comb. The feel is rich and layered, with just enough acidity to lend volume to the apricot, dried peach and honey flavors this late-harvest Chardonnay is pushing. Thick and a bit unctuous on the finish; drink now.",91,90.0,Spain Other,D.G. Viticultors NV Caligo Essència Sweet White Wine Chardonnay (Spain),Chardonnay,D.G. Viticultors
12888,Italy,"Frank Cornelissen is one of the rising stars of Italy's natural wine movement. Munjebel 7 (he does editions, instead of vintages) shows a bright ruby appearance with suspended particles that give it a slightly cloudy appearance. The aromas are fine, delicate and complex with wild berry, crushed granite and dusty earth. His wines are aged in large clay amphorae.",91,50.0,Sicily & Sardinia,Frank Cornelissen NV Munjebel 7  (Etna),Nerello Mascalese,Frank Cornelissen
12924,France,"Effectively a Blanc de Blancs, although not labeled as such, this is a crisp, steely, mineral wine. It has a Chablis-like cut and thrust of citrus and apple fruit flavors, bright and fruity, although with an attractive bottle age toast.",91,25.0,Burgundy,Bailly-Lapierre NV Brut  (Crémant de Bourgogne),Chardonnay,Bailly-Lapierre
12980,US,"Hints of popcorn and buttered toast accent flavors of pressed apple and pear on this easygoing semisweet Cayuga. It's delicate in frame, finishing with a bright burst of lemon-candy acidity.",84,14.0,New York,Palaia Vineyards NV Pearl White (New York),White Blend,Palaia Vineyards
13039,Spain,"Licorice city on the nose, so much so that it smells like the real thing. In the mouth, it is thick as they come. Flavors of maple, white raisins and milk chocolate are in your face and delicious. Expect a syrupy wine that requires a knife to cut through. Still, it's a wonderful reflection of this generous, sweet-leaning grape.",92,16.0,Andalucia,Hidalgo NV Vino Dulce Natural Pedro Ximénez (Jerez),Pedro Ximénez,Hidalgo
13042,France,"There is something spicy to the lemon and pear fruit on the nose. The same rich fruit expression is also present on the palate, alongside ripe fresh lemon and a creamy mousse. This is rich with flavor but remains light, dry and refreshing. The finish has a lovely lemony tang.",90,22.0,Alsace,Cave de Cleebourg NV Clérotstein Pinot Gris (Crémant d'Alsace),Pinot Gris,Cave de Cleebourg
13043,France,"Creamy, almost mellow notes of Red Delicious apple pervade nose and palate. The mousse is very fine and creamy, heightening the beautifully pure fruit notes as well as a rounded autolytic note of brioche. This is light bodied but full of flavor, dry and creamy with a lovely long finish.",90,22.0,Alsace,Cave de Hunawihr NV Rosé Calixte Sparkling (Crémant d'Alsace),Sparkling Blend,Cave de Hunawihr
13045,France,"Ripe red apple notes appear first, joined by a lovely touch of yeast. The palate is fresh and creamy and has a salty edge. Fresh fizz tends to creaminess but the finish accentuates the utter freshness and really dry, appetizing aftertaste with a lovely, yeasty edge.",90,33.0,Alsace,Domaine François Schmitt NV Blanc de Noirs Sparkling (Crémant d'Alsace),Sparkling Blend,Domaine François Schmitt
